event_id	year	month	day	level	event
339	1961	апреля	12		полет в космос первого в мире космонавта Ю.А. Гагарина
340	1961				второй Берлинский кризис. Сооружение Берлинской стены
341	1961				XXII съезд КПСС. Принятие Программы построения коммунизма
342	1962				события в г. Новочеркасске
343	1962				 Карибский кризис
344	1963				космический полет первой в мире женщины-космонавта В.В.Терешковой
345	1964				смещение Н.С. Хрущева с поста первого секретаря ЦК КПСС.
346	1964-1982				первый секретарь ЦК КПСС Л.И.Брежнев.
347	1965				начало реформы А.Н. Косыгина
348	1968				 «Пражская весна» и ввод войск стран ОВД в Чехословакию.
349	1969				пограничный советско-китайский конфликт
350	1972				Советско-американский договор об ограничении систем противоракетной обороны (ПРО) и Договор об ограничении стратегических вооружений (ОСВ-1)
351	1975				 заключительный этап Совещания по безопасности и сотрудничеству в Европе (СБСЕ) в Хельсинки.
352	1977				новая Конституция СССР
353	1979				Договор с США об ограничении стратегических вооружений-2 (ОСВ-2)
354	1979				ввод советских войск в Афганистан
355	1980				Летние Олимпийские игры в Москве
356	1982				Смерть Л.И. Брежнева
357	1982-1984				 Генеральный секретарь ЦК КПСС Ю.В. Андропов.
358	1984-1985				Генеральный секретарь ЦК КПСС К.У. Черненко.
359	1985	март			избрание Генеральным секретарем ЦК КПСС М.С. Горбачева
360	1985				 Провозглашение М.С.Горбачевым курса на ускорение.
361	1986	февраль			 провозглашение основных направлений политики Перестройки на XXVII съезде КПСС.
362	1986	апреля	26		 авария на Чернобыльской АЭС
363	1987	январь			провозглашение политики гласности
364	1988	Июнь-июль			 ХIХ конференция КПСС
365	1989	февраль			вывод советских войск из Афганистана
366	1989				I съезд народных депутатов СССР
367	1990	марта	15		избрание М.С.Горбачева Президентом СССР на III cъезде народных депутатов СССР
368	1990				 Съезд народных депутатов РСФСР, Принятие Декларации о государственном суверенитете России.
369	1991	марта	17		референдум о сохранении СССР
370	1991				избрание Б.Н.Ельцина Президентом РСФСР.
371	1991	августа	19-21		ГКЧП и оборона Белого дома
372	1991	Август			указ Ельцина о запрете деятельности КПСС
373	1991	декабря	1		референдум о независимости Украины
374	1991				распад СССР (Беловежские соглашения между лидерами РФ, Украины и Белоруссии). Подписание ими же Декларации о создании Содружества Независимых Государств (СНГ). Алма-атинская декларация о целях и принципах СНГ (21 декабря 1991 г.)
375	1992				начало экономической реформы
376	1992				указ Президента РФ о введении в действие системы приватизационных чеков (ваучеров), начало приватизации госимущества
377	1993				подписание Договора СНВ-2 между Россией и США
378	1993	апреля	25		референдум о доверии Президенту Б.Н.Ельцину и Верховному совету.
379	1993				Указ Президента РФ№ 1400 «О поэтапной конституционной реформе», объявление о роспуске съезда народных депутатов и Верховного Совета и проведении 12 декабря референдума по новой Конституции
380	1993	октябрь			трагические события в Москве, расстрел Белого дома.
381	1993	декабря	12		Принятие Конституции РФ и выборы в Госдуму.
382	1994	декабрь			начало военно-политического кризиса в Чеченской Республике
383	1995	июнь			нападение боевиков на г. Буденновск
384	1996				 выборы Президента РФ.
385	1996				подписание перемирия в Чеченской республике.
386	1998	август			дефолт, финансовый кризис
387	1999				возобновление военного конфликта на Кавказе.
388	2000				выборы и вступление в должность Президента РФ В.В.Путина
389	2000				создание института Полномочных представителей Президента РФ в федеральных округах, создание Государственного Совета РФ
390	2000				утверждение новой концепции внешней политики РФ
391	2003				выборы в Государственную Думу
392	2004				избрание В.В. Путина Президентом РФ на второй срок
393	2008				избрание Д.А. Медведева Президентом РФ
394	2008				операция по принуждению к миру
395	2008				Мировой финансовый кризис. Корректировка тактики социально- экономического развития в условиях финансово-экономического кризиса в РФ (2008 г.)
396	2008				закон об увеличении срока полномочий Государственной Думы до 5 лет и Президента РФ до 6 лет
397	2012				избрание В.В. Путина Президентом РФ
